# master_seed: 1783263541
instance,run_id,seed,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0,time_greedy,time_rand_0.3,time_rand_0.5,time_rand_0.8,time_react_0.5,time_react_1.0,time_react_2.0
scenario_n50_l62_d0.50_instance01,1,23289,8,14,20,27,8,8,8,0.1637,15.984500,18.718500,22.020600,109.076500,101.672900,91.825200
scenario_n50_l62_d0.80_instance01,1,23289,4,15,22,27,4,4,4,0.143,19.345700,23.435200,25.873600,129.934100,119.227900,108.991800
scenario_n1000_l1000_d0.20_instance01,2,1520,69,NA,NA,NA,NA,NA,NA,44.2672,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,2,1520,49,NA,NA,NA,NA,NA,NA,74.0794,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,2,1520,25,NA,NA,NA,NA,NA,NA,97.056,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,2,1520,73,NA,NA,NA,NA,NA,NA,51.5205,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,2,1520,46,NA,NA,NA,NA,NA,NA,75.3882,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,2,1520,29,NA,NA,NA,NA,NA,NA,104.073,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,2,1520,40,NA,NA,NA,NA,NA,NA,23.1905,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,2,1520,32,NA,NA,NA,NA,NA,NA,54.6327,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,2,1520,12,NA,NA,NA,NA,NA,NA,88.9989,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,2,1520,52,NA,NA,NA,NA,NA,NA,29.5805,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,2,1520,39,NA,NA,NA,NA,NA,NA,61.8394,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,2,1520,20,NA,NA,NA,NA,NA,NA,92.394,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,2,1520,58,NA,NA,NA,NA,NA,NA,33.6395,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.50_instance01,2,1520,41,NA,NA,NA,NA,NA,NA,60.3052,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.80_instance01,2,1520,18,NA,NA,NA,NA,NA,NA,92.4291,NA,NA,NA,NA,NA,NA
scenario_n100_l100_d0.20_instance01,2,1520,13,27,39,51,13,13,13,0.6126,49.677600,56.314300,83.457600,294.593300,280.448900,255.392800
scenario_n100_l100_d0.50_instance01,2,1520,8,26,39,50,8,8,8,0.8048,75.493100,91.043500,100.450400,457.927200,435.826900,440.995000
scenario_n100_l100_d0.80_instance01,2,1520,6,26,40,52,6,6,6,0.4407,107.139800,159.702900,125.636300,611.007100,618.301500,535.350300
scenario_n100_l125_d0.20_instance01,2,1520,15,32,44,59,15,15,15,0.4446,56.332700,70.682800,87.659000,361.837200,338.955700,287.562500
scenario_n100_l125_d0.50_instance01,2,1520,8,31,46,57,8,8,8,0.4425,90.325200,114.363300,117.591100,516.127400,483.656300,433.816800
scenario_n100_l125_d0.80_instance01,2,1520,6,32,45,58,6,6,6,0.7437,110.330600,132.446800,138.866600,698.423400,617.722500,574.271300
scenario_n100_l25_d0.20_instance01,2,1520,6,8,13,19,6,6,6,0.1276,19.622100,20.911300,22.805700,122.155300,120.403600,121.377400
scenario_n100_l25_d0.50_instance01,2,1520,3,8,13,19,3,3,3,0.2243,45.138200,44.301900,44.239100,258.783100,258.240100,252.776700
scenario_n100_l25_d0.80_instance01,2,1520,2,8,13,19,2,2,2,0.3163,68.585900,67.433900,66.134900,396.785100,396.334700,390.739900
scenario_n100_l50_d0.20_instance01,2,1520,8,15,23,32,8,10,8,0.1893,24.508300,27.909000,32.817000,168.843100,174.818100,158.741600
scenario_n100_l50_d0.50_instance01,2,1520,5,14,22,34,5,5,5,0.2451,50.535900,52.377200,54.789100,307.766600,318.613500,352.957600
scenario_n100_l50_d0.80_instance01,2,1520,4,15,23,34,4,4,4,0.3743,95.290000,91.735100,103.187800,819.975600,598.608400,558.192600
scenario_n20_l20_d0.20_instance01,2,1520,10,10,10,11,10,10,10,0.1164,1.950700,1.926700,2.072500,11.465400,13.545200,17.512900
